iter	Passed	Remaining
622	2241	1356
623	2243	1352
624	2247	1348
625	2250	1344
626	2252	1340
627	2256	1336
628	2259	1332
629	2261	1328
630	2265	1324
631	2267	1320
632	2270	1316
633	2273	1312
634	2276	1308
635	2279	1304
636	2282	1300
637	2285	1296
638	2287	1292
639	2290	1288
640	2293	1284
641	2296	1280
642	2299	1276
643	2302	1272
644	2304	1268
645	2307	1264
646	2311	1261
647	2314	1257
648	2316	1252
649	2319	1248
650	2321	1244
651	2324	1240
652	2328	1237
653	2331	1233
654	2334	1229
655	2336	1225
656	2339	1221
657	2342	1217
658	2345	1213
659	2347	1209
660	2350	1205
661	2353	1201
662	2356	1197
663	2359	1193
664	2361	1189
665	2364	1185
666	2367	1181
667	2369	1177
668	2372	1173
669	2376	1170
670	2378	1166
671	2381	1162
672	2384	1158
673	2386	1154
674	2390	1150
675	2393	1146
676	2395	1143
677	2398	1139
678	2401	1135
679	2404	1131
680	2407	1127
681	2410	1123
682	2412	1119
683	2415	1115
684	2418	1112
685	2421	1108
686	2424	1104
687	2426	1100
688	2429	1096
689	2432	1092
690	2435	1089
691	2438	1085
692	2441	1081
693	2444	1077
694	2446	1073
695	2449	1069
696	2452	1066
697	2455	1062
698	2458	1058
699	2461	1054
700	2463	1050
701	2466	1047
702	2469	1043
703	2472	1039
704	2475	1035
705	2477	1031
706	2480	1027
707	2483	1024
708	2486	1020
709	2488	1016
710	2491	1012
711	2494	1008
712	2496	1004
713	2500	1001
714	2503	997
715	2505	993
716	2508	990
717	2510	986
718	2513	982
719	2516	978
720	2519	974
721	2522	971
722	2524	967
723	2527	963
724	2530	959
725	2533	956
726	2535	952
727	2538	948
728	2541	944
729	2543	940
730	2547	937
731	2550	933
732	2552	929
733	2555	926
734	2558	922
735	2560	918
736	2564	915
737	2566	911
738	2569	907
739	2571	903
740	2574	899
741	2577	896
742	2580	892
743	2583	888
744	2585	885
745	2588	881
746	2591	877
747	2594	874
748	2597	870
749	2600	866
750	2603	863
751	2606	859
752	2609	856
753	2612	852
754	2615	848
755	2618	844
756	2620	841
757	2623	837
758	2627	834
759	2630	830
760	2633	827
761	2636	823
762	2639	819
763	2642	816
764	2644	812
765	2647	808
766	2650	805
767	2652	801
768	2655	797
769	2658	794
770	2661	790
771	2663	786
772	2666	783
773	2669	779
774	2672	775
775	2675	772
776	2678	768
777	2681	765
778	2684	761
779	2687	757
780	2690	754
781	2693	750
782	2695	747
783	2698	743
784	2701	739
785	2705	736
786	2708	732
787	2711	729
788	2713	725
789	2716	722
790	2720	718
791	2722	715
792	2725	711
793	2728	707
794	2731	704
795	2734	700
796	2737	697
797	2739	693
798	2742	689
799	2745	686
800	2748	682
801	2751	679
802	2754	675
803	2756	672
804	2759	668
805	2762	665
806	2765	661
807	2768	657
808	2771	654
809	2774	650
810	2776	647
811	2779	643
812	2782	640
813	2785	636
814	2788	632
815	2790	629
816	2793	625
817	2795	622
818	2799	618
819	2802	615
820	2804	611
821	2807	608
822	2810	604
823	2814	601
824	2817	597
825	2819	594
826	2822	590
827	2825	586
828	2828	583
829	2831	580
830	2834	576
831	2836	572
832	2839	569
833	2841	565
834	2845	562
835	2848	558
836	2850	555
837	2853	551
838	2856	548
839	2858	544
840	2862	541
841	2865	537
842	2867	534
843	2870	530
844	2873	527
845	2876	523
846	2879	520
847	2882	516
848	2885	513
849	2887	509
850	2890	506
851	2893	502
852	2896	499
853	2899	495
854	2902	492
855	2903	488
856	2905	484
857	2909	481
858	2912	478
859	2914	474
860	2917	470
861	2920	467
862	2923	464
863	2926	460
864	2928	457
865	2931	453
866	2934	450
867	2937	446
868	2940	443
869	2943	439
870	2946	436
871	2949	432
872	2952	429
873	2955	426
874	2959	422
875	2961	419
876	2964	415
877	2967	412
878	2970	408
879	2973	405
880	2976	402
881	2978	398
882	2981	395
883	2983	391
884	2987	388
885	2989	384
886	2992	381
887	2995	377
888	2997	374
889	3001	370
890	3004	367
891	3007	364
892	3010	360
893	3012	357
894	3015	353
895	3019	350
896	3022	347
897	3024	343
898	3027	340
899	3030	336
900	3033	333
901	3036	329
902	3039	326
903	3041	323
904	3044	319
905	3047	316
906	3050	312
907	3053	309
908	3056	305
909	3059	302
910	3061	299
911	3065	295
912	3068	292
913	3071	288
914	3073	285
915	3076	282
916	3078	278
917	3082	275
918	3085	271
919	3088	268
920	3091	265
921	3093	261
922	3097	258
923	3100	254
924	3102	251
925	3105	248
926	3108	244
927	3111	241
928	3126	238
929	3130	235
930	3133	232
931	3136	228
932	3138	225
933	3141	222
934	3145	218
935	3147	215
936	3150	211
937	3153	208
938	3156	205
939	3158	201
940	3161	198
941	3164	194
942	3167	191
943	3169	188
944	3172	184
945	3175	181
946	3178	177
947	3181	174
948	3184	171
949	3187	167
950	3190	164
951	3194	161
952	3196	157
953	3199	154
954	3202	150
955	3205	147
956	3208	144
957	3211	140
958	3214	137
959	3217	134
960	3219	130
961	3222	127
962	3226	123
963	3228	120
964	3231	117
965	3235	113
966	3238	110
967	3240	107
968	3243	103
969	3245	100
970	3248	97
971	3250	93
972	3253	90
973	3256	86
974	3258	83
975	3261	80
976	3263	76
977	3266	73
978	3269	70
979	3271	66
980	3274	63
981	3276	60
982	3279	56
983	3282	53
984	3285	50
985	3288	46
986	3290	43
987	3293	39
988	3295	36
989	3298	33
990	3301	29
991	3304	26
992	3306	23
993	3309	19
994	3311	16
995	3315	13
996	3318	9
997	3320	6
998	3323	3
999	3326	0
